file,title,knowledge_id,bytes,parse_status,summary_status,enable_status
星际边界探测器.md,星际边界探测器.md,a2dc81ed-e517-4c07-a119-75bb7c2bab8a,5307,completed,completed,enabled
晶体闸流管.md,晶体闸流管.md,c9206256-423d-4e52-b5f0-0940811974d7,4063,completed,completed,enabled
曲波变换.md,曲波变换.md,d8079d05-a86c-4608-b442-ef883c6fdfc6,3206,completed,completed,enabled
有源负载又称主动式负载.md,有源负载又称主动式负载.md,f45806ea-4103-48cd-818c-318186a9e0c4,3352,completed,completed,enabled
有限空间作业.md,有限空间作业.md,9f724ee4-1a1e-4b26-9409-3ffde9fb8271,6209,completed,completed,enabled
本质安全.md,本质安全.md,e9ecb3ba-0de7-4ce4-a104-cf02af2e947b,3941,completed,completed,enabled
机器人学习.md,机器人学习.md,1cf55b22-f740-49c7-8fe1-eb69613c679c,2017,completed,completed,enabled
架空电缆.md,架空电缆.md,635bd650-8a63-4d2a-963e-559a7b814e75,6391,completed,completed,enabled
树枝在暴风雨中将电线短路.md,树枝在暴风雨中将电线短路.md,0ddefe29-f4ef-4695-b3bb-818b3e20925b,3013,completed,completed,enabled
核反应堆冷却剂.md,核反应堆冷却剂.md,e7428cfa-3a57-4180-9c84-6c2d228d9ebe,3961,completed,completed,enabled
死区.md,死区.md,ee690c68-b405-4822-811c-1352b9c17222,2513,completed,completed,enabled
气动马达也称为风动马达.md,气动马达也称为风动马达.md,040c2eca-5266-4eac-afcd-67bdcc52f8c6,1484,completed,completed,enabled
永久模铸造法.md,永久模铸造法.md,0995c09a-baf5-4c7e-928d-82f322573c19,6507,completed,completed,enabled
汉密尔顿级巡逻舰.md,汉密尔顿级巡逻舰.md,f46a6c8c-3130-401e-a571-53787ee2edfd,5231,completed,completed,enabled
汽油引擎.md,汽油引擎.md,70113246-82aa-4cc9-91e7-46ad2a109a09,4469,completed,completed,enabled
注射周期.md,注射周期.md,acf6f7ab-9b5f-4bf5-83a0-9ade2749ce0a,7033,completed,completed,enabled
流变仪.md,流变仪.md,c4d3a2a4-3bd6-4cc0-8879-c40c3c3322d1,5564,completed,completed,enabled
测井.md,测井.md,5aa3b5d2-c5f0-40c7-8d63-442e853a2e0e,8346,completed,completed,enabled
测光表.md,测光表.md,ef82659d-0672-4083-b2f6-c6b7b76081fd,5664,completed,completed,enabled
浸渗.md,浸渗.md,02141be9-9f07-4b12-9476-7df9d8454792,2143,completed,completed,enabled
涡流制动.md,涡流制动.md,00b2cdf5-9bb5-4436-86a4-fa38d3480487,4714,completed,completed,enabled
润滑.md,润滑.md,ad7c5b80-0725-4c48-b196-12f7865bcc7b,3197,completed,completed,enabled
深圳地铁南车株机电动列车.md,深圳地铁南车株机电动列车.md,a875a43c-cd88-46e7-9d4e-07db0fadebfa,5619,completed,completed,enabled
深空原子钟.md,深空原子钟.md,e9828838-44db-45dc-ae08-241b01b4e545,3380,completed,completed,enabled
混频器的符号.md,混频器的符号.md,1df3cb2e-9254-400d-907d-3c9b9a8b0752,3936,completed,completed,enabled
清华大学工业工程系为清华大学机械工程学院五学系之一.md,清华大学工业工程系为清华大学机械工程学院五学系之一.md,f8265624-9a2a-4331-a99e-1ae74d7c5ad7,7193,completed,completed,enabled
澳门大学连接横琴口岸通道桥.md,澳门大学连接横琴口岸通道桥.md,2a5959fa-3c4d-4921-bc5f-cf3ff9db4be7,6558,completed,completed,enabled
激光器可以在连续或脉冲模式工作.md,激光器可以在连续或脉冲模式工作.md,3caa006e-e5ef-4d99-a283-2c6e686bc72d,2298,completed,completed,enabled
激光干涉空间天线.md,激光干涉空间天线.md,bfd03014-ed26-4ffd-8b06-e16c673ad369,7333,completed,completed,enabled
火星间歇泉跳跃者.md,火星间歇泉跳跃者.md,c85df452-27f4-4fa5-87fe-84e686a0b96a,7932,completed,completed,enabled
热电联产.md,热电联产.md,20d2aa01-c193-45b6-8464-83fb6752a335,7262,completed,completed,enabled
燃料加注机.md,燃料加注机.md,88bea27b-1096-48e7-af1a-4f041397e11b,3127,completed,completed,enabled
燃料喷射装置.md,燃料喷射装置.md,f389cad0-b92b-4b68-9e99-b706d50882c6,2971,completed,completed,enabled
环路增益.md,环路增益.md,edae5a1e-57cd-4bc1-88f2-4e01e67e14cc,1912,completed,completed,enabled
瑞士联邦铁路Am.md,瑞士联邦铁路Am.md,d4f734ab-4309-44a9-ae11-10c2d05d527d,6770,completed,completed,enabled
